Province,Centre,Total
Sask./Sask.,Saskatoon,10
Sask./Sask.,Saskatoon,--
Sask./Sask.,Saskatoon,13
Sask./Sask.,Saskatoon,--
Sask./Sask.,Saskatoon,--
Sask./Sask.,Saskatoon,--
Sask./Sask.,Saskatoon,--
Sask./Sask.,Saskatoon,8
Sask./Sask.,Saskatoon,3
Sask./Sask.,Saskatoon,--
Sask./Sask.,Saskatoon,--
Sask./Sask.,Saskatoon,"1,039"
Sask./Sask.,Estevan,1
Sask./Sask.,Estevan,10
Sask./Sask.,Estevan,52
Sask./Sask.,Estevan,63
Sask./Sask.,Lloydminster,162
Sask./Sask.,Lloydminster,162
Sask./Sask.,Moose Jaw,3
Sask./Sask.,Moose Jaw,83
Sask./Sask.,Moose Jaw,86
Sask./Sask.,North Battleford,12
Sask./Sask.,North Battleford,16
Sask./Sask.,North Battleford,28
Sask./Sask.,Prince Albert,7
Sask./Sask.,Prince Albert,44
Sask./Sask.,Prince Albert,6
Sask./Sask.,Prince Albert,57
Sask./Sask.,Swift Current,9
Sask./Sask.,Swift Current,30
Sask./Sask.,Swift Current,39
Sask./Sask.,Yorkton,7
Sask./Sask.,Yorkton,19
Sask./Sask.,Yorkton,--
Sask./Sask.,Yorkton,1
Sask./Sask.,Yorkton,--
Sask./Sask.,Yorkton,27
Sask./Sask.,Total,"2,530"
Alta/Alb.,Calgary,273
Alta/Alb.,Calgary,"10,956"
Alta/Alb.,Calgary,507
Alta/Alb.,Calgary,125
Alta/Alb.,Calgary,780
Alta/Alb.,Calgary,19
Alta/Alb.,Calgary,--
Alta/Alb.,Calgary,30
Alta/Alb.,Calgary,"12,690"
Alta/Alb.,Edmonton,4
Alta/Alb.,Edmonton,73
Alta/Alb.,Edmonton,301
Alta/Alb.,Edmonton,--
Alta/Alb.,Edmonton,321
Alta/Alb.,Edmonton,28
Alta/Alb.,Edmonton,12
Alta/Alb.,Edmonton,--
Alta/Alb.,Edmonton,9
Alta/Alb.,Edmonton,--
Alta/Alb.,Edmonton,5
Alta/Alb.,Edmonton,--
Alta/Alb.,Edmonton,149
Alta/Alb.,Edmonton,1
Alta/Alb.,Edmonton,1
Alta/Alb.,Edmonton,--
Alta/Alb.,Edmonton,--
Alta/Alb.,Edmonton,--
Alta/Alb.,Edmonton,--
Alta/Alb.,Edmonton,15
Alta/Alb.,Edmonton,218
Alta/Alb.,Edmonton,431
Alta/Alb.,Edmonton,731
Alta/Alb.,Edmonton,284
Alta/Alb.,Edmonton,140
Alta/Alb.,Edmonton,"8,890"
Alta/Alb.,Edmonton,396
Alta/Alb.,Edmonton,29
Alta/Alb.,Edmonton,13
Alta/Alb.,Edmonton,13
Alta/Alb.,Edmonton,102
Alta/Alb.,Edmonton,9
Alta/Alb.,Edmonton,"12,175"
Alta/Alb.,Lethbridge,772
Alta/Alb.,Lethbridge,772
Alta/Alb.,Medicine Hat,60
Alta/Alb.,Medicine Hat,"1,188"
Alta/Alb.,Medicine Hat,69
Alta/Alb.,Medicine Hat,"1,317"
Alta/Alb.,Red Deer,"1,324"
Alta/Alb.,Red Deer,"1,324"
Alta/Alb.,Canmore,238
Alta/Alb.,Canmore,238
Alta/Alb.,Okotoks,848
Alta/Alb.,Okotoks,848
Alta/Alb.,Brooks,176
Alta/Alb.,Brooks,176
Alta/Alb.,Camrose,149
Alta/Alb.,Camrose,149
Alta/Alb.,Cold Lake,150
Alta/Alb.,Cold Lake,126
Alta/Alb.,Cold Lake,32
Alta/Alb.,Cold Lake,--
Alta/Alb.,Cold Lake,--
Alta/Alb.,Cold Lake,--
Alta/Alb.,Cold Lake,308
Alta/Alb.,Grande Prairie,"1,114"
Alta/Alb.,Grande Prairie,"1,114"
Alta/Alb.,Lloydminster,285
Alta/Alb.,Lloydminster,285
Alta/Alb.,Wetaskiwin,23
Alta/Alb.,Wetaskiwin,23
Alta/Alb.,Wood Buffalo,"1,040"
Alta/Alb.,Wood Buffalo,"1,040"
Alta/Alb.,Total,"32,459"
B.C./C.-B.,Abbotsford,617
B.C./C.-B.,Abbotsford,126
B.C./C.-B.,Abbotsford,2
B.C./C.-B.,Abbotsford,745
B.C./C.-B.,Vancouver,880
B.C./C.-B.,Vancouver,216
B.C./C.-B.,Vancouver,"4,136"
B.C./C.-B.,Vancouver,54
B.C./C.-B.,Vancouver,237
B.C./C.-B.,Vancouver,"1,452"
B.C./C.-B.,Vancouver,264
B.C./C.-B.,Vancouver,"4,736"
B.C./C.-B.,Vancouver,"2,738"
B.C./C.-B.,Vancouver,591
B.C./C.-B.,Vancouver,323
B.C./C.-B.,Vancouver,2
B.C./C.-B.,Vancouver,35
B.C./C.-B.,Vancouver,429
B.C./C.-B.,Vancouver,578
B.C./C.-B.,Vancouver,276
B.C./C.-B.,Vancouver,282
B.C./C.-B.,Vancouver,198
B.C./C.-B.,Vancouver,38
B.C./C.-B.,Vancouver,1
B.C./C.-B.,Vancouver,187
B.C./C.-B.,Vancouver,419
B.C./C.-B.,Vancouver,"18,072"
B.C./C.-B.,Victoria,34
B.C./C.-B.,Victoria,51
B.C./C.-B.,Victoria,33
B.C./C.-B.,Victoria,296
B.C./C.-B.,Victoria,20
B.C./C.-B.,Victoria,612
B.C./C.-B.,Victoria,88
B.C./C.-B.,Victoria,140
B.C./C.-B.,Victoria,16
B.C./C.-B.,Victoria,518
